Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
30,29,28/12/2015,33-345,MIA,,BRK,1,30:19:00,7,11,0.636,0,1,0,10,12,0.833,0,2,2,6,1,0,3,4,24,19.5,0
31,30,29/12/2015,33-346,MIA,@,MEM,1,37:25:00,9,18,0.5,0,0,,1,5,0.2,3,2,5,5,3,0,2,1,19,15.2,-8
32,31,01/01/2016,33-349,MIA,,DAL,0,18:47,5,6,0.833,0,0,,0,0,,0,2,2,7,1,0,2,1,10,11.9,5
33,32,03/01/2016,33-351,MIA,@,WAS,1,24:35:00,3,10,0.3,0,0,,2,2,1,1,3,4,3,1,0,1,0,8,5.9,20
34,33,04/01/2016,33-352,MIA,,IND,1,37:49:00,9,22,0.409,0,0,,9,10,0.9,3,5,8,3,0,1,0,3,27,20,0
35,34,06/01/2016,33-354,MIA,,NYK,1,30:30:00,8,16,0.5,0,0,,2,2,1,3,3,6,6,0,0,4,2,18,12.4,-5
36,35,08/01/2016,33-356,MIA,@,PHO,1,33:09:00,9,14,0.643,0,0,,9,10,0.9,1,1,2,2,1,2,5,1,27,19.8,5
37,36,09/01/2016,33-357,MIA,@,UTA,1,32:36:00,3,17,0.176,0,0,,2,5,0.4,3,2,5,4,1,0,4,0,8,-1.4,-14
38,37,11/01/2016,33-359,MIA,@,GSW,1,32:39:00,6,20,0.3,0,0,,8,8,1,4,3,7,11,0,1,0,2,20,19.7,2
39,38,13/01/2016,33-361,MIA,@,LAC,1,30:22:00,6,10,0.6,0,0,,4,9,0.444,2,6,8,4,0,0,7,1,16,8,-9
40,,15/01/2016,33-363,MIA,@,DEN,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
41,39,17/01/2016,34-000,MIA,@,OKC,1,28:51:00,9,15,0.6,0,1,0,4,4,1,0,2,2,3,0,0,4,1,22,13.4,-22
42,40,19/01/2016,34-002,MIA,,MIL,1,21:10,1,6,0.167,0,1,0,0,0,,1,1,2,4,0,0,5,1,2,-3.4,-21
43,,20/01/2016,34-003,MIA,@,WAS,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
44,41,22/01/2016,34-005,MIA,@,TOR,1,36:37:00,10,20,0.5,0,0,,2,6,0.333,1,2,3,4,1,0,4,1,22,11.1,-17
45,42,25/01/2016,34-008,MIA,@,CHI,1,34:01:00,11,21,0.524,0,0,,6,8,0.75,1,6,7,5,0,1,1,2,28,21.8,14
