Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
59,59,03/03/2013,24-111,OKC,@,LAC,1,40:25:00,11,20,0.55,0,2,0,7,10,0.7,1,5,6,10,1,0,3,2,29,24.6,13
60,60,05/03/2013,24-113,OKC,,LAL,1,35:49:00,15,29,0.517,0,2,0,7,8,0.875,4,6,10,5,2,0,1,1,37,31,11
61,61,07/03/2013,24-115,OKC,@,NYK,1,36:10:00,8,22,0.364,1,4,0.25,4,6,0.667,1,5,6,5,2,0,5,3,21,9.5,-7
62,62,08/03/2013,24-116,OKC,@,CHA,1,24:43:00,5,11,0.455,1,3,0.333,0,0,,1,2,3,5,1,0,1,1,11,9.7,7
63,63,10/03/2013,24-118,OKC,,BOS,1,33:57:00,5,11,0.455,1,2,0.5,4,6,0.667,0,1,1,2,2,1,3,4,15,8.3,5
64,64,11/03/2013,24-119,OKC,@,SAS,1,37:45:00,11,27,0.407,1,3,0.333,2,3,0.667,4,2,6,6,2,0,4,3,25,14.5,6
65,65,13/03/2013,24-121,OKC,,UTA,1,28:08:00,6,11,0.545,0,1,0,7,9,0.778,1,6,7,9,1,1,5,0,19,18.4,17
66,66,15/03/2013,24-123,OKC,,ORL,1,36:46:00,8,19,0.421,3,6,0.5,4,5,0.8,1,5,6,6,0,0,0,0,23,18.9,-2
67,67,17/03/2013,24-125,OKC,@,DAL,1,37:11:00,13,23,0.565,0,4,0,9,9,1,3,3,6,6,2,1,5,3,35,27.8,8
68,68,19/03/2013,24-127,OKC,,DEN,1,36:37:00,10,21,0.476,0,4,0,5,7,0.714,0,4,4,6,1,0,1,5,25,16.9,-8
69,69,20/03/2013,24-128,OKC,@,MEM,1,40:46:00,7,25,0.28,0,6,0,6,8,0.75,2,2,4,3,3,0,2,4,20,8,-12
70,70,22/03/2013,24-130,OKC,@,ORL,1,34:55:00,7,17,0.412,0,2,0,5,7,0.714,0,6,6,9,2,2,3,3,19,16.4,7
71,71,24/03/2013,24-132,OKC,,POR,1,33:34:00,9,18,0.5,0,2,0,3,5,0.6,0,4,4,9,1,0,2,2,21,16.9,17
72,72,27/03/2013,24-135,OKC,,WAS,1,25:09:00,5,8,0.625,1,1,1,10,11,0.909,0,4,4,4,0,0,4,2,21,16.2,10
73,73,29/03/2013,24-137,OKC,@,MIN,1,32:07:00,7,17,0.412,1,2,0.5,3,5,0.6,1,3,4,9,0,0,2,5,18,12,-3
74,74,30/03/2013,24-138,OKC,@,MIL,1,37:13:00,6,18,0.333,1,4,0.25,10,14,0.714,2,11,13,10,3,1,5,4,23,20,7
75,75,04/04/2013,24-143,OKC,,SAS,1,34:59:00,9,21,0.429,2,6,0.333,7,7,1,2,5,7,7,3,0,3,0,27,23.7,-2
76,76,05/04/2013,24-144,OKC,@,IND,1,33:42:00,10,24,0.417,0,3,0,4,6,0.667,2,5,7,9,1,0,2,4,24,17,16
77,77,07/04/2013,24-146,OKC,,NYK,1,33:45:00,15,27,0.556,2,4,0.5,5,6,0.833,4,7,11,8,1,0,1,1,37,33.8,-5
78,78,09/04/2013,24-148,OKC,@,UTA,00:00,37:12:00,8,21,0.381,2,5,0.4,7,8,0.875,1,4,5,2,3,0,1,2,25,17.6,8
79,79,11/04/2013,24-150,OKC,@,GSW,00:00,30:26:00,7,17,0.412,1,5,0.2,3,4,0.75,2,1,3,9,0,2,6,1,18,11.5,12
80,80,12/04/2013,24-151,OKC,@,POR,24:00:00,31:05:00,10,18,0.556,2,4,0.5,11,12,0.917,0,1,1,2,3,1,3,3,33,25.2,26
81,81,15/04/2013,24-154,OKC,,SAC,00:00,36:06:00,8,19,0.421,2,5,0.4,3,4,0.75,1,4,5,8,3,0,4,2,21,16.2,16
82,82,17/04/2013,24-156,OKC,,MIL,00:00,07:18,2,5,0.4,0,0,,0,0,,0,0,0,3,0,0,0,0,4,3.4,10
1,,30/10/2013,24-352,OKC,@,UTA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,01/11/2013,24-354,OKC,@,MIN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1,03/11/2013,24-356,OKC,,PHO,24:00:00,32:45:00,5,16,0.313,0,2,0,11,14,0.786,1,3,4,7,1,0,4,3,21,12.9,1
4,2,06/11/2013,24-359,OKC,,DAL,24:00:00,32:45:00,10,20,0.5,0,1,0,2,5,0.4,0,1,1,4,2,0,5,2,22,10.1,11
5,3,08/11/2013,24-361,OKC,@,DET,00:00,30:05:00,5,19,0.263,1,3,0.333,9,10,0.9,2,3,5,0,3,0,4,3,20,8.4,-10
6,4,10/11/2013,24-363,OKC,,WAS,24:00:00,30:01:00,4,16,0.25,3,7,0.429,2,2,1,3,1,4,4,1,0,5,3,13,3.4,-9
7,5,13/11/2013,25-001,OKC,@,LAC,24:00:00,34:49:00,7,18,0.389,2,4,0.5,3,5,0.6,2,2,4,10,2,0,5,2,19,13.6,-2
8,6,14/11/2013,25-002,OKC,@,GSW,24:00:00,35:58:00,13,20,0.65,2,5,0.4,3,5,0.6,2,7,9,5,3,0,5,3,31,25.2,-3
9,7,16/11/2013,25-004,OKC,@,MIL,24:00:00,33:14:00,10,20,0.5,1,4,0.25,5,8,0.625,0,3,3,4,1,0,3,1,26,16.1,8
10,8,18/11/2013,25-006,OKC,,DEN,24:00:00,38:06:00,10,25,0.4,3,4,0.75,7,10,0.7,2,10,12,7,0,0,5,2,30,18.8,5
11,9,21/11/2013,25-009,OKC,,LAC,1,31:21:00,5,13,0.385,0,6,0,2,3,0.667,0,6,6,5,1,0,3,3,12,6.6,-1
12,,24/11/2013,25-012,OKC,,UTA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,10,27/11/2013,25-015,OKC,,SAS,24:00:00,32:12:00,2,16,0.125,0,5,0,2,4,0.5,0,3,3,8,2,0,2,3,6,0.1,2
14,11,29/11/2013,25-017,OKC,,GSW,24:00:00,41:44:00,10,25,0.4,2,5,0.4,12,15,0.8,0,1,1,7,5,0,1,2,34,27.7,1
15,12,01/12/2013,25-019,OKC,,MIN,24:00:00,31:33:00,7,15,0.467,4,7,0.571,1,2,0.5,1,1,2,5,3,1,1,3,19,16.9,-6
16,13,03/12/2013,25-021,OKC,@,SAC,24:00:00,32:25:00,7,19,0.368,1,5,0.2,0,0,,3,5,8,7,1,0,7,1,15,6.6,-10
17,14,04/12/2013,25-022,OKC,@,POR,24:00:00,29:33:00,7,17,0.412,2,4,0.5,5,5,1,1,2,3,5,0,0,3,2,21,12.9,-11
