Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
57,50,23/02/2016,25-223,POR,,BRK,1,36:44:00,9,18,0.5,2,7,0.286,14,14,1,0,2,2,4,3,0,4,3,34,26.2,12
58,51,25/02/2016,25-225,POR,,HOU,1,36:18:00,6,20,0.3,3,10,0.3,8,8,1,1,5,6,7,0,0,1,4,23,15.9,-17
59,52,27/02/2016,25-227,POR,@,CHI,1,34:34:00,12,26,0.462,0,4,0,7,7,1,0,4,4,4,0,0,4,1,31,17.2,-2
60,53,28/02/2016,25-228,POR,@,IND,1,35:05:00,11,23,0.478,5,8,0.625,6,6,1,0,5,5,2,0,1,2,2,33,22.1,4
61,54,01/03/2016,25-230,POR,@,NYK,1,32:28:00,8,18,0.444,4,9,0.444,10,10,1,0,4,4,6,0,0,1,1,30,24.6,13
62,55,02/03/2016,25-231,POR,@,BOS,1,33:58:00,8,17,0.471,3,8,0.375,1,2,0.5,1,3,4,2,0,2,3,2,20,11.5,-22
63,56,04/03/2016,25-233,POR,@,TOR,1,39:37:00,16,28,0.571,6,13,0.462,12,13,0.923,2,1,3,5,0,0,4,2,50,36.8,1
64,57,06/03/2016,25-235,POR,@,DET,1,35:05:00,8,22,0.364,2,9,0.222,8,8,1,1,4,5,5,0,0,7,3,26,11,-23
65,58,08/03/2016,25-237,POR,,WAS,1,43:38:00,12,25,0.48,6,13,0.462,11,12,0.917,0,5,5,11,1,0,1,2,41,36.3,9
66,59,11/03/2016,25-240,POR,@,GSW,1,30:15:00,5,19,0.263,4,9,0.444,3,3,1,1,1,2,5,1,1,2,2,17,9.1,-16
67,60,12/03/2016,25-241,POR,,ORL,1,29:47:00,6,11,0.545,2,6,0.333,5,5,1,1,3,4,10,0,0,4,1,19,17.9,24
68,61,14/03/2016,25-243,POR,@,OKC,1,31:54:00,7,16,0.438,3,6,0.5,4,4,1,0,2,2,4,0,1,4,3,21,11.5,-22
69,62,17/03/2016,25-246,POR,@,SAS,1,39:56:00,7,19,0.368,3,7,0.429,6,6,1,0,3,3,6,0,1,2,4,23,14.7,-1
70,63,18/03/2016,25-247,POR,@,NOP,1,35:17:00,9,19,0.474,3,8,0.375,12,12,1,0,8,8,6,0,1,4,3,33,25.4,-4
71,64,20/03/2016,25-249,POR,@,DAL,1,44:05:00,8,26,0.308,4,10,0.4,6,6,1,2,2,4,8,1,0,5,2,26,13.8,-5
72,65,23/03/2016,25-252,POR,,DAL,1,37:39:00,9,19,0.474,4,9,0.444,5,5,1,0,6,6,6,1,2,7,1,27,18.3,2
73,66,24/03/2016,25-253,POR,@,LAC,1,35:14:00,4,16,0.25,2,8,0.25,8,9,0.889,1,2,3,8,1,0,3,1,18,12.5,-3
74,67,26/03/2016,25-255,POR,,PHI,1,35:55:00,6,20,0.3,2,6,0.333,2,2,1,0,5,5,7,0,0,2,2,16,8,-6
75,68,28/03/2016,25-257,POR,,SAC,1,28:46:00,4,9,0.444,3,5,0.6,2,2,1,0,1,1,9,1,1,4,2,13,11.8,19
76,69,31/03/2016,25-260,POR,,BOS,1,36:13:00,3,16,0.188,1,6,0.167,7,8,0.875,1,0,1,4,0,1,3,1,14,4.4,-3
77,70,02/04/2016,25-262,POR,,MIA,1,29:10:00,5,14,0.357,0,2,0,8,10,0.8,0,2,2,4,0,0,3,0,18,9.8,15
78,71,03/04/2016,25-263,POR,@,GSW,1,35:32:00,13,27,0.481,4,9,0.444,8,9,0.889,1,2,3,4,0,0,0,2,38,27.2,-7
79,72,05/04/2016,25-265,POR,@,SAC,1,35:21:00,6,19,0.316,3,9,0.333,7,8,0.875,0,2,2,8,1,1,4,1,22,14.2,-3
80,73,06/04/2016,25-266,POR,,OKC,1,36:48:00,2,13,0.154,2,7,0.286,5,5,1,0,3,3,9,0,1,3,0,11,7.6,6
81,74,09/04/2016,25-269,POR,,MIN,1,37:55:00,11,22,0.5,4,10,0.4,5,5,1,0,3,3,7,1,0,3,3,31,22.6,7
82,75,13/04/2016,25-273,POR,,DEN,1,23:48,8,17,0.471,3,8,0.375,2,2,1,0,3,3,5,2,0,2,1,21,16.3,0
1,1,25/10/2016,26-102,POR,,UTA,1,35:25:00,13,20,0.65,4,6,0.667,9,9,1,1,8,9,6,0,0,4,3,39,32.3,1
2,2,27/10/2016,26-104,POR,,LAC,1,36:11:00,11,24,0.458,2,5,0.4,5,7,0.714,1,9,10,3,0,0,4,6,29,14.9,13
3,3,29/10/2016,26-106,POR,@,DEN,1,41:22:00,15,28,0.536,2,8,0.25,5,5,1,1,4,5,7,2,1,5,2,37,27.1,2
4,4,01/11/2016,26-109,POR,,GSW,1,31:34:00,8,19,0.421,4,10,0.4,11,13,0.846,0,1,1,2,1,0,1,3,31,20.6,-29
5,5,02/11/2016,26-110,POR,@,PHO,1,39:55:00,9,22,0.409,1,8,0.125,8,10,0.8,0,5,5,5,1,0,2,5,27,16.4,-4
6,6,04/11/2016,26-112,POR,@,DAL,1,36:59:00,12,18,0.667,5,6,0.833,13,14,0.929,0,4,4,4,0,0,1,4,42,35.2,17
7,7,06/11/2016,26-114,POR,@,MEM,1,32:54:00,3,11,0.273,2,8,0.25,11,11,1,1,6,7,7,1,0,3,3,19,16.7,3
8,8,08/11/2016,26-116,POR,,PHO,1,37:06:00,12,23,0.522,3,8,0.375,11,12,0.917,2,3,5,3,0,0,4,4,38,25.1,9
9,9,09/11/2016,26-117,POR,@,LAC,1,27:47:00,1,10,0.1,0,4,0,6,6,1,0,1,1,1,0,0,3,3,8,-1.8,-32
10,10,11/11/2016,26-119,POR,,SAC,1,42:25:00,12,19,0.632,5,10,0.5,7,9,0.778,0,1,1,7,0,0,5,1,36,26.5,-1
11,11,13/11/2016,26-121,POR,,DEN,1,33:09:00,7,18,0.389,3,7,0.429,15,15,1,2,6,8,6,4,0,1,0,32,32.6,19
12,12,15/11/2016,26-123,POR,,CHI,1,38:26:00,7,22,0.318,1,5,0.2,4,4,1,1,4,5,4,1,0,3,1,19,8.7,-23
13,13,17/11/2016,26-125,POR,@,HOU,1,33:50:00,7,17,0.412,1,5,0.2,3,5,0.6,1,4,5,5,0,1,3,1,18,10.8,-24
14,14,18/11/2016,26-126,POR,@,NOP,1,35:41:00,8,24,0.333,4,11,0.364,7,7,1,2,1,3,2,1,0,3,3,27,13.3,-17
15,15,20/11/2016,26-128,POR,@,BRK,1,28:04:00,8,14,0.571,0,5,0,2,4,0.5,0,4,4,5,1,1,2,1,18,14.6,13
16,16,22/11/2016,26-130,POR,@,NYK,1,35:21:00,8,18,0.444,2,6,0.333,4,4,1,0,5,5,6,2,0,5,1,22,14.9,-3
17,17,23/11/2016,26-131,POR,@,CLE,1,37:33:00,13,21,0.619,5,7,0.714,9,9,1,0,7,7,11,0,0,2,4,40,36.7,-16
18,18,25/11/2016,26-133,POR,,NOP,1,35:55:00,9,19,0.474,3,7,0.429,6,7,0.857,0,4,4,11,0,1,1,2,27,24.7,18
19,19,27/11/2016,26-135,POR,,HOU,1,37:58:00,7,20,0.35,2,8,0.25,11,13,0.846,1,4,5,5,1,0,7,2,27,13.6,-15
20,20,30/11/2016,26-138,POR,,IND,1,34:57:00,11,18,0.611,1,6,0.167,5,7,0.714,0,5,5,10,4,0,1,3,28,29.3,26
21,21,03/12/2016,26-141,POR,,MIA,1,35:14:00,6,19,0.316,2,6,0.333,5,6,0.833,0,4,4,6,1,0,2,3,19,10.9,2
22,22,05/12/2016,26-143,POR,@,CHI,1,34:26:00,11,24,0.458,3,6,0.5,5,5,1,0,3,3,7,2,3,0,2,30,26.7,1
23,23,07/12/2016,26-145,POR,@,MIL,1,39:04:00,8,18,0.444,5,13,0.385,9,9,1,0,7,7,6,0,0,2,1,30,24.5,4
24,24,08/12/2016,26-146,POR,@,MEM,1,36:10:00,6,18,0.333,2,7,0.286,5,7,0.714,1,2,3,2,1,0,1,5,19,8.7,-4
25,25,10/12/2016,26-148,POR,@,IND,1,36:45:00,10,24,0.417,5,14,0.357,8,9,0.889,1,2,3,9,0,0,2,4,33,23.8,-1
26,26,12/12/2016,26-150,POR,@,LAC,1,37:21:00,7,17,0.412,4,7,0.571,6,6,1,0,5,5,8,1,1,2,2,24,20.9,1
27,27,13/12/2016,26-151,POR,,OKC,1,30:02:00,7,13,0.538,1,5,0.2,2,2,1,2,0,2,9,1,0,3,1,17,16,4
28,28,15/12/2016,26-153,POR,@,DEN,1,37:53:00,13,22,0.591,4,8,0.5,10,11,0.909,0,3,3,10,0,0,5,2,40,31.5,-11
29,29,17/12/2016,26-155,POR,@,GSW,1,30:07:00,8,15,0.533,1,3,0.333,3,3,1,0,2,2,1,1,0,2,1,20,12.6,-29
30,30,20/12/2016,26-158,POR,@,SAC,1,38:30:00,6,20,0.3,1,10,0.1,11,12,0.917,0,4,4,16,0,0,0,1,24,24,3
31,31,21/12/2016,26-159,POR,,DAL,1,39:07:00,10,23,0.435,3,9,0.333,6,6,1,0,3,3,4,1,0,6,0,29,15.6,2
32,32,23/12/2016,26-161,POR,,SAS,1,37:29:00,7,19,0.368,1,5,0.2,1,2,0.5,0,5,5,10,1,0,2,3,16,11.4,-10
33,,26/12/2016,26-164,POR,,TOR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,28/12/2016,26-166,POR,,SAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,30/12/2016,26-168,POR,@,SAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
