Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,,03/01/2016,27-091,CHI,,TOR,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
33,28,05/01/2016,27-093,CHI,,MIL,1,34:32:00,8,17,0.471,0,4,0,0,0,,0,1,1,6,0,0,5,1,16,6.4,15
34,29,07/01/2016,27-095,CHI,,BOS,1,34:27:00,9,16,0.563,0,1,0,0,0,,2,5,7,3,0,0,2,4,18,11.8,6
35,30,09/01/2016,27-097,CHI,,ATL,1,35:29:00,5,15,0.333,0,0,,7,8,0.875,2,1,3,5,2,1,6,1,17,9.6,-9
36,31,11/01/2016,27-099,CHI,,WAS,1,31:03:00,8,13,0.615,2,3,0.667,5,5,1,0,0,0,1,0,1,4,0,23,14.5,-25
37,32,12/01/2016,27-100,CHI,,MIL,1,22:29,3,9,0.333,1,3,0.333,2,2,1,1,0,1,3,1,0,3,2,9,3.9,-9
38,,14/01/2016,27-102,CHI,,PHI,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
39,33,15/01/2016,27-103,CHI,,DAL,1,33:22:00,8,18,0.444,0,2,0,2,2,1,1,3,4,2,2,0,1,1,18,12.2,3
40,34,18/01/2016,27-106,CHI,,DET,1,27:26:00,9,17,0.529,1,2,0.5,1,1,1,0,1,1,4,0,0,1,0,20,13.8,-8
41,35,20/01/2016,27-108,CHI,,GSW,1,30:10:00,12,22,0.545,0,2,0,5,5,1,0,1,1,2,0,0,2,3,29,16.9,-10
42,36,22/01/2016,27-110,CHI,,BOS,1,36:08:00,10,21,0.476,3,4,0.75,4,4,1,2,5,7,3,0,0,4,2,27,16.5,-15
43,37,23/01/2016,27-111,CHI,,CLE,1,35:16:00,5,21,0.238,0,1,0,2,2,1,1,3,4,4,0,1,1,1,12,3,-1
44,38,25/01/2016,27-113,CHI,,MIA,1,13:01,2,6,0.333,0,0,,0,0,,0,0,0,1,0,0,0,0,4,1.3,-2
45,39,28/01/2016,27-116,CHI,,LAL,1,28:42:00,7,12,0.583,0,2,0,2,2,1,0,7,7,5,1,0,1,2,16,15.2,15
46,40,31/01/2016,27-119,CHI,,LAC,1,33:03:00,10,17,0.588,0,0,,0,0,,0,5,5,4,0,0,3,2,20,12.6,-14
47,41,01/02/2016,27-120,CHI,,UTA,1,36:50:00,6,21,0.286,1,4,0.25,1,2,0.5,1,2,3,4,1,1,3,3,14,2.9,-14
48,42,03/02/2016,27-122,CHI,,SAC,1,35:24:00,6,15,0.4,0,1,0,9,10,0.9,2,4,6,9,2,0,7,1,21,16,7
49,43,05/02/2016,27-124,CHI,,DEN,1,35:20:00,13,27,0.481,0,3,0,4,6,0.667,2,7,9,8,1,0,2,1,30,23.2,-7
50,44,06/02/2016,27-125,CHI,,MIN,1,32:57:00,6,20,0.3,0,3,0,6,7,0.857,3,2,5,10,1,0,3,3,18,12.5,-3
51,,08/02/2016,27-127,CHI,,CHO,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,45,10/02/2016,27-129,CHI,,ATL,1,28:48:00,6,18,0.333,2,2,1,0,0,,2,3,5,3,1,0,2,2,14,6.4,-14
53,46,18/02/2016,27-137,CHI,,CLE,1,30:21:00,11,19,0.579,2,3,0.667,4,4,1,0,7,7,2,1,0,3,0,28,20.6,-15
54,47,19/02/2016,27-138,CHI,,TOR,1,34:41:00,12,20,0.6,1,2,0.5,1,2,0.5,2,1,3,6,0,0,4,1,26,17.9,4
