Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
7,7,31/10/2017,22-329,MIL,,OKC,1,27:49:00,9,14,0.643,2,3,0.667,8,9,0.889,2,6,8,3,0,1,4,4,28,21.8,-15
8,8,01/11/2017,22-330,MIL,@,CHO,1,31:57:00,5,16,0.313,0,2,0,4,4,1,1,12,13,5,2,2,3,5,14,11,14
9,9,03/11/2017,22-332,MIL,@,DET,1,38:03:00,13,27,0.481,1,4,0.25,2,2,1,1,3,4,3,1,4,3,2,29,19,9
10,10,07/11/2017,22-336,MIL,@,CLE,1,40:14:00,16,21,0.762,0,0,,8,11,0.727,4,5,9,3,0,3,7,6,40,29.6,-7
11,11,10/11/2017,22-339,MIL,@,SAS,1,35:41:00,12,24,0.5,0,1,0,4,8,0.5,2,10,12,5,1,4,1,2,28,24.3,13
12,12,11/11/2017,22-340,MIL,,LAL,1,40:05:00,12,19,0.632,0,1,0,9,11,0.818,3,12,15,3,1,1,3,3,33,29,13
13,13,13/11/2017,22-342,MIL,,MEM,1,43:49:00,10,22,0.455,0,1,0,7,9,0.778,3,6,9,7,2,2,2,2,27,24.2,6
14,14,15/11/2017,22-344,MIL,,DET,1,34:55:00,8,16,0.5,0,1,0,5,6,0.833,2,4,6,1,3,4,3,5,21,16.7,16
15,15,18/11/2017,22-347,MIL,@,DAL,1,39:43:00,7,20,0.35,1,2,0.5,9,13,0.692,5,12,17,2,3,0,3,5,24,17.7,-18
16,16,20/11/2017,22-349,MIL,,WAS,1,39:10:00,8,21,0.381,0,3,0,7,9,0.778,1,7,8,4,0,3,0,3,23,17.2,-12
17,,22/11/2017,22-351,MIL,@,PHO,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
18,17,25/11/2017,22-354,MIL,@,UTA,1,38:57:00,10,18,0.556,0,1,0,7,9,0.778,3,10,13,5,0,0,3,3,27,22,-13
19,18,28/11/2017,22-357,MIL,@,SAC,1,26:15:00,11,16,0.688,1,1,1,9,13,0.692,0,5,5,5,5,1,2,4,32,30.7,26
20,19,30/11/2017,22-359,MIL,@,POR,1,36:34:00,7,20,0.35,0,1,0,6,8,0.75,1,8,9,5,3,3,0,3,20,18.5,21
21,20,02/12/2017,22-361,MIL,,SAC,1,33:57:00,8,15,0.533,0,2,0,17,22,0.773,3,10,13,5,3,1,2,2,33,33.2,7
22,21,04/12/2017,22-363,MIL,@,BOS,1,39:06:00,14,24,0.583,0,1,0,12,14,0.857,1,8,9,4,0,0,4,5,40,27.9,-11
23,22,06/12/2017,23-000,MIL,,DET,1,37:44:00,8,16,0.5,1,3,0.333,8,12,0.667,4,7,11,4,1,2,6,4,25,17.9,4
24,23,08/12/2017,23-002,MIL,,DAL,1,43:05:00,8,19,0.421,0,0,,11,12,0.917,2,9,11,3,2,2,4,5,27,20.1,18
25,24,09/12/2017,23-003,MIL,,UTA,1,39:25:00,14,22,0.636,1,1,1,8,9,0.889,3,10,13,7,2,0,2,4,37,35.2,17
26,25,13/12/2017,23-007,MIL,@,NOP,1,41:42:00,13,24,0.542,1,2,0.5,5,8,0.625,5,4,9,4,5,1,2,1,32,30,-7
27,26,15/12/2017,23-009,MIL,,CHI,1,39:43:00,11,18,0.611,1,3,0.333,6,9,0.667,5,11,16,4,0,1,1,1,29,28.5,1
28,27,16/12/2017,23-010,MIL,@,HOU,1,42:19:00,10,22,0.455,0,3,0,8,10,0.8,2,7,9,5,4,0,3,2,28,23,-5
29,28,19/12/2017,23-013,MIL,,CLE,1,40:05:00,8,14,0.571,0,0,,11,12,0.917,1,12,13,8,2,0,3,1,27,28.5,3
30,29,22/12/2017,23-016,MIL,,CHO,1,36:30:00,9,20,0.45,1,3,0.333,7,8,0.875,1,6,7,5,1,0,0,3,26,21,20
31,,23/12/2017,23-017,MIL,@,CHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,30,26/12/2017,23-020,MIL,,CHI,1,36:44:00,11,17,0.647,1,4,0.25,5,6,0.833,1,6,7,4,1,1,4,3,28,21.9,2
33,31,28/12/2017,23-022,MIL,,MIN,1,40:24:00,11,20,0.55,0,1,0,0,0,,3,7,10,3,0,0,4,2,22,13.9,9
34,32,29/12/2017,23-023,MIL,@,OKC,1,39:49:00,10,16,0.625,0,0,,3,4,0.75,6,6,12,6,1,1,5,0,23,22.3,1
35,33,01/01/2018,23-026,MIL,@,TOR,1,41:34:00,9,18,0.5,1,3,0.333,7,9,0.778,2,7,9,7,0,0,0,4,26,23,-6
36,34,03/01/2018,23-028,MIL,,IND,1,29:09:00,12,18,0.667,0,1,0,7,8,0.875,3,6,9,5,1,2,2,1,31,30.2,15
37,35,05/01/2018,23-030,MIL,,TOR,1,33:31:00,9,14,0.643,0,0,,6,9,0.667,1,4,5,5,2,0,2,1,24,21.6,-16
38,36,06/01/2018,23-031,MIL,@,WAS,1,40:51:00,12,17,0.706,1,1,1,9,10,0.9,2,10,12,7,2,1,3,5,34,33.5,14
39,37,08/01/2018,23-033,MIL,@,IND,1,32:14:00,3,8,0.375,0,1,0,11,14,0.786,1,6,7,3,2,1,4,1,17,14.3,-19
40,38,10/01/2018,23-035,MIL,,ORL,1,33:35:00,10,15,0.667,0,0,,6,10,0.6,3,4,7,1,0,1,2,2,26,19.8,22
41,39,12/01/2018,23-037,MIL,,GSW,1,35:33:00,10,19,0.526,0,3,0,3,3,1,2,5,7,4,0,1,3,5,23,15.1,-15
42,40,14/01/2018,23-039,MIL,@,MIA,1,30:37:00,6,12,0.5,0,0,,10,10,1,1,5,6,1,1,0,2,4,22,16.3,-20
43,41,15/01/2018,23-040,MIL,@,WAS,1,38:56:00,9,23,0.391,0,0,,9,15,0.6,7,13,20,6,0,2,3,4,27,21.9,16
44,42,17/01/2018,23-042,MIL,,MIA,1,38:22:00,6,15,0.4,2,3,0.667,8,15,0.533,2,8,10,6,2,2,1,3,22,20.3,-9
45,,20/01/2018,23-045,MIL,@,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,22/01/2018,23-047,MIL,,PHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,43,26/01/2018,23-051,MIL,,BRK,1,32:54:00,14,20,0.7,3,3,1,10,11,0.909,2,11,13,7,2,2,1,2,41,43.4,19
48,44,28/01/2018,23-053,MIL,@,CHI,1,34:36:00,11,19,0.579,0,0,,5,10,0.5,3,6,9,8,1,1,4,2,27,22.5,8
49,45,29/01/2018,23-054,MIL,,PHI,1,35:33:00,10,22,0.455,1,5,0.2,10,10,1,3,15,18,6,0,1,4,4,31,25.5,15
50,46,01/02/2018,23-057,MIL,@,MIN,1,35:33:00,6,14,0.429,0,1,0,5,9,0.556,1,13,14,6,0,0,5,2,17,11,-5
51,47,02/02/2018,23-058,MIL,,NYK,1,37:17:00,10,21,0.476,1,3,0.333,8,12,0.667,0,11,11,2,3,2,2,2,29,23,3
52,48,04/02/2018,23-060,MIL,@,BRK,1,27:48:00,7,13,0.538,1,2,0.5,1,1,1,1,7,8,4,0,1,2,0,16,14,16
53,49,06/02/2018,23-062,MIL,@,NYK,1,34:39:00,10,23,0.435,0,0,,3,6,0.5,1,10,11,6,1,2,3,3,23,15.8,11
54,50,09/02/2018,23-065,MIL,@,MIA,1,40:05:00,8,21,0.381,1,4,0.25,6,7,0.857,0,11,11,3,1,2,5,4,23,12.3,4
55,51,10/02/2018,23-066,MIL,@,ORL,1,37:54:00,14,24,0.583,0,1,0,4,7,0.571,1,4,5,5,1,2,3,2,32,23.6,11
56,52,13/02/2018,23-069,MIL,,ATL,1,34:16:00,7,16,0.438,0,4,0,1,2,0.5,3,12,15,3,1,2,1,5,15,13.4,4
57,53,15/02/2018,23-071,MIL,,DEN,1,39:01:00,14,21,0.667,1,2,0.5,7,12,0.583,3,8,11,13,0,3,6,2,36,33.8,-3
58,54,23/02/2018,23-079,MIL,@,TOR,1,45:22:00,11,22,0.5,0,1,0,4,4,1,3,9,12,6,2,1,3,2,26,22.9,10
59,55,25/02/2018,23-081,MIL,,NOP,1,39:46:00,6,18,0.333,0,2,0,8,10,0.8,1,3,4,6,2,0,0,5,20,14.8,-3
60,56,27/02/2018,23-083,MIL,,WAS,1,39:17:00,8,16,0.5,1,1,1,6,8,0.75,2,11,13,8,3,6,5,5,23,24.7,-1
61,57,28/02/2018,23-084,MIL,@,DET,1,29:57:00,5,13,0.385,1,3,0.333,0,0,,0,3,3,2,0,0,4,3,11,1,-13
62,58,02/03/2018,23-086,MIL,,IND,1,43:22:00,6,18,0.333,2,4,0.5,10,12,0.833,2,8,10,3,2,3,4,4,24,17.4,-10
63,59,04/03/2018,23-088,MIL,,PHI,1,41:52:00,14,23,0.609,1,1,1,6,10,0.6,3,6,9,7,2,1,4,3,35,29.2,0
64,60,05/03/2018,23-089,MIL,@,IND,1,36:59:00,7,16,0.438,0,2,0,4,5,0.8,2,10,12,2,2,5,2,1,18,18.1,2
65,61,07/03/2018,23-091,MIL,,HOU,1,37:44:00,12,20,0.6,0,0,,6,9,0.667,2,5,7,1,1,2,6,4,30,18,-11
66,62,09/03/2018,23-093,MIL,,NYK,1,35:14:00,7,15,0.467,0,0,,14,18,0.778,2,8,10,5,2,2,1,2,28,27.6,19
67,63,12/03/2018,23-096,MIL,@,MEM,1,27:46:00,7,14,0.5,1,3,0.333,5,7,0.714,1,5,6,4,0,1,6,5,20,9.9,3
68,64,14/03/2018,23-098,MIL,@,ORL,1,40:27:00,16,29,0.552,1,3,0.333,5,5,1,1,9,10,7,3,0,2,4,38,31.8,10
69,65,17/03/2018,23-101,MIL,,ATL,1,39:24:00,12,25,0.48,2,6,0.333,7,8,0.875,4,8,12,7,4,2,2,5,33,31.4,2
