Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
33,33,23/12/2018,21-057,LAL,,MEM,1,27:17:00,2,10,0.2,0,7,0,0,0,,0,3,3,2,3,2,2,2,4,1.7,1
34,34,25/12/2018,21-059,LAL,@,GSW,1,24:11:00,2,6,0.333,1,4,0.25,1,2,0.5,0,3,3,4,0,0,2,2,6,3.1,2
35,35,27/12/2018,21-061,LAL,@,SAC,1,36:50:00,8,13,0.615,4,6,0.667,0,0,,0,9,9,12,2,1,2,0,20,25.9,3
36,36,28/12/2018,21-062,LAL,,LAC,1,42:42:00,7,16,0.438,3,8,0.375,2,2,1,2,3,5,6,1,0,4,4,19,12.5,-3
37,37,30/12/2018,21-064,LAL,,SAC,1,31:21:00,6,14,0.429,1,6,0.167,0,4,0,0,2,2,6,0,0,2,1,13,6.4,-20
38,38,02/01/2019,21-067,LAL,,OKC,1,35:16:00,1,4,0.25,0,1,0,1,5,0.2,1,3,4,7,1,2,2,4,3,4.3,4
39,39,04/01/2019,21-069,LAL,,NYK,1,33:43:00,6,13,0.462,5,7,0.714,0,2,0,2,4,6,2,2,1,6,4,17,8.6,-17
40,40,06/01/2019,21-071,LAL,@,MIN,1,22:38,0,4,0,0,2,0,0,0,,0,6,6,4,0,0,1,2,0,0,-21
41,41,07/01/2019,21-072,LAL,@,DAL,1,37:07:00,8,15,0.533,4,8,0.5,1,4,0.25,3,4,7,5,2,0,2,2,21,18.5,8
42,42,09/01/2019,21-074,LAL,,DET,1,34:40:00,2,6,0.333,1,4,0.25,0,0,,0,5,5,11,2,1,2,3,5,10.3,24
43,43,11/01/2019,21-076,LAL,@,UTA,1,31:14:00,3,13,0.231,1,5,0.2,0,0,,3,4,7,6,2,0,1,5,7,5.6,-1
44,44,13/01/2019,21-078,LAL,,CLE,1,40:41:00,5,14,0.357,2,8,0.25,1,2,0.5,3,6,9,8,2,0,1,4,13,13.7,-13
45,45,15/01/2019,21-080,LAL,,CHI,1,37:48:00,8,17,0.471,3,7,0.429,0,0,,4,4,8,6,2,0,3,0,19,17.5,13
46,46,17/01/2019,21-082,LAL,@,OKC,1,33:03:00,7,17,0.412,4,10,0.4,0,0,,0,6,6,10,1,0,4,5,18,12.7,-12
47,47,19/01/2019,21-084,LAL,@,HOU,1,21:59,4,7,0.571,0,3,0,0,0,,0,3,3,11,1,1,1,1,8,13.6,15
48,,21/01/2019,21-086,LAL,,GSW,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,24/01/2019,21-089,LAL,,MIN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,27/01/2019,21-092,LAL,,PHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,29/01/2019,21-094,LAL,,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,31/01/2019,21-096,LAL,@,LAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,02/02/2019,21-098,LAL,@,GSW,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,05/02/2019,21-101,LAL,@,IND,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,07/02/2019,21-103,LAL,@,BOS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,10/02/2019,21-106,LAL,@,PHI,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,12/02/2019,21-108,LAL,@,ATL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,21/02/2019,21-117,LAL,,HOU,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,,23/02/2019,21-119,LAL,@,NOP,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
